web_scraper_order,web_scraper_start_url,price,type_shoes,adress,img
"1765140175-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=12","16 000CFA","Chaussures homme","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5069281"
"1765140192-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=11","15 000CFA","Chaussures hommes","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5125958"
"1765140208-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","20 000CFA","Tout terrain","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/tout-terrain-5145823"
"1765140225-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=9","25 000CFA","Baskets New Balance 1000","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-new-balance-1000-5247024"
"1765140246-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=8","30 000CFA","Chaussures homme","Colobane, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5311670"
"1765140260-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=7","20 000CFA","Chaussures en cuirs pour homme","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-en-cuirs-pour-homme-5353808"
"1765140272-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=6","10 000CFA","Babouche hommes","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/babouche-hommes-5351566"
"1765140284-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=5","27 000CFA","Baskets New Balance Fuel Cell","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-new-balance-fuel-cell-5365687"
"1765140295-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=4","18 000CFA","Chaussures Burberry","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-burberry-5473580"
"1765140307-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","13 000CFA","Baskets Nike Airzoom 95","Mbao, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-airzoom-95-5573580"
"1765140318-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=2","20 000CFA","Mocassins homme","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/mocassins-homme-5600246"
"1765140329-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=1","25 000CFA","Asic kayono","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chaussures-homme/asic-kayono-5656438"
